종목코드,종목명,상장일,분류체계,운용사,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,복제방법,총보수,과세유형
466400,1Q 25-08 회사채(A+이상)액티브,2023/09/19,채권-회사채-단기,하나자산운용,3.49,KIS 2025-08만기형 크레딧 A+이상 지수(총수익),0.06,101699473502,0.0,매우낮음,실물(액티브),0.1,배당소득세(보유기간과세)
491610,1Q CD금리액티브(합성),2024/09/24,기타,하나자산운용,0.0,KIS 하나 CD금리 총수익지수,0.06,260906824785,0.01,매우낮음,합성(액티브),0.02,배당소득세(보유기간과세)
451060,1Q K200액티브,2023/01/31,주식-시장대표,하나자산운용,17.96,코스피 200,0.88,135502811811,-0.21,높음,실물(액티브),0.18,배당소득세(보유기간과세)
463290,1Q 단기금융채액티브,2023/08/03,채권-혼합-단기,하나자산운용,3.37,MK 머니마켓 지수(총수익),0.04,241455655352,0.0,매우낮음,실물(액티브),0.08,배당소득세(보유기간과세)
479080,1Q 머니마켓액티브,2024/04/02,채권-혼합-단기,하나자산운용,3.45,KIS-하나 MMF 지수(총수익),0.05,1045955366634,0.01,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
0026S0,1Q 미국S&P500,2025/03/18,주식-시장대표,하나자산운용,0.0,S&P 500,0.31,105444092586,0.38,매우높음,실물(패시브),0.005,배당소득세(보유기간과세)
0052S0,1Q 미국S&P500미국채혼합50액티브,2025/06/10,혼합자산-주식+채권,하나자산운용,0.0,S&P 500 and Short-Term Treasury 50/50 Blend Index,0.2,34688540006,0.51,매우낮음,실물(액티브),0.15,배당소득세(보유기간과세)
0069M0,1Q 미국나스닥100,2025/06/24,주식-시장대표,하나자산운용,0.0,NASDAQ 100,0.43,28948379414,0.59,매우낮음,실물(패시브),0.005,배당소득세(보유기간과세)
0083S0,1Q 미국메디컬AI,2025/07/22,주식-업종섹터-업종테마,하나자산운용,0.0,KEDI 미국메디컬AI 지수,0.19,14615829696,1.29,보통,실물(패시브),0.49,배당소득세(보유기간과세)
0004G0,1Q 미국배당TOP30,2025/01/21,주식-전략-배당,하나자산운용,0.0,Solactive U.S. Dividend TOP 30 Index PR,0.5,4514602931,0.29,높음,실물(패시브),0.1,배당소득세(보유기간과세)
0017Y0,1Q 종합채권(AA-이상)액티브,2025/02/25,채권-혼합-중기,하나자산운용,0.0,KIS 종합채권형 지수(AA-이상)(총수익),0.22,35246119280,-0.07,매우낮음,실물(액티브),0.025,배당소득세(보유기간과세)
0052T0,1Q 중단기회사채(A-이상)액티브,2025/05/27,채권-회사채-중기,하나자산운용,0.0,KEDI 중단기크레딧플러스채권(AAA~A-)지수(총수익),0.19,121417615644,-0.04,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
472350,1Q 차이나H(H),2023/12/12,주식-시장대표,하나자산운용,52.3,Hang Seng China H,0.86,13284735813,-0.31,매우높음,실물(패시브),0.11,배당소득세(보유기간과세)
495330,1Q 코리아밸류업,2024/11/04,주식-시장대표,하나자산운용,0.0,코리아 밸류업 지수,0.98,32443155832,-0.47,높음,실물(패시브),0.02,비과세
492500,1Q 현대차그룹채권(A+이상)&국고통안,2024/10/02,채권-혼합-단기,하나자산운용,0.0,KIS 하나 현대차그룹채권(A+이상)&국고통안 총수익지수,0.22,143336327399,-0.02,매우낮음,실물(패시브),0.1,배당소득세(보유기간과세)
473440,ACE 11월만기자동연장회사채AA-이상액티브,2023/12/19,채권-회사채-단기,한국투자신탁운용,3.49,KIS 11월 만기자동연장회사채(AA-이상) 총수익지수,0.08,101806251867,-0.07,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
105190,ACE 200,2008/09/25,주식-시장대표,한국투자신탁운용,15.48,코스피 200,0.73,503588849753,-0.1,높음,실물(패시브),0.017,비과세
332500,ACE 200TR,2019/08/28,주식-시장대표,한국투자신탁운용,18.03,코스피 200 TR,0.2,55003163479,-0.17,높음,실물(패시브),0.01,배당소득세(보유기간과세)
461270,ACE 26-06 회사채(AA-이상)액티브,2023/06/20,채권-회사채-단기,한국투자신탁운용,3.97,KIS 크레딧 2606만기형(AA-이상)지수(총수익지수),0.11,195458169076,-0.01,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
475260,ACE 2월만기자동연장회사채AA-이상액티브,2024/01/23,채권-회사채-단기,한국투자신탁운용,3.37,KAP 2월 만기자동연장회사채(AA-이상) 총수익지수,0.05,49720001520,0.01,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
385600,ACE 2차전지&친환경차액티브,2021/05/25,주식-전략-전략테마,한국투자신탁운용,-28.77,FnGuide 친환경 자동차 밸류체인 지수,16.56,15688354635,-0.01,매우높음,실물(액티브),0.29,배당소득세(보유기간과세)
475270,ACE 5월만기자동연장회사채AA-이상액티브,2024/01/23,채권-회사채-단기,한국투자신탁운용,3.13,KIS 5월 만기자동연장회사채(AA-이상) 총수익지수,0.11,42846104139,-0.03,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
475280,ACE 8월만기자동연장회사채AA-이상액티브,2024/01/23,채권-회사채-단기,한국투자신탁운용,3.38,KAP 8월 만기자동연장회사채(AA-이상) 총수익지수,0.13,89056210415,-0.09,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
469150,ACE AI반도체포커스,2023/10/17,주식-업종섹터-업종테마,한국투자신탁운용,-7.75,FnGuide AI 반도체 포커스 지수(시장가격),0.44,55323852672,0.24,매우높음,실물(패시브),0.3,비과세
0079X0,ACE BYD밸류체인액티브,2025/07/15,주식-업종섹터-업종테마,한국투자신탁운용,0.0,Bloomberg BYD Plus Top Supply Chain Select Price Return Index,0.94,13272847512,-0.5,낮음,실물(액티브),0.45,배당소득세(보유기간과세)
385590,ACE ESG액티브,2021/05/25,주식-전략-전략테마,한국투자신탁운용,16.34,MSCI Korea Country ESG Leaders Custom Capped Price return Index,5.12,23707285713,-0.54,높음,실물(액티브),0.5,배당소득세(보유기간과세)
0010E0,ACE FTSE WGBI Korea,2025/02/18,채권-국공채-장기,한국투자신탁운용,0.0,FTSE Korean Government Bond Index(TR),3.42,20203418244,-0.14,매우낮음,실물(패시브),0.15,배당소득세(보유기간과세)
380340,ACE Fn5G플러스,2021/04/02,주식-업종섹터-업종테마,한국투자신탁운용,6.44,FnGuide 5G플러스 지수 (시장가격),0.38,6479867591,-0.55,매우높음,실물(패시브),0.35,비과세
226380,ACE Fn성장소비주도주,2015/08/19,주식-전략-전략테마,한국투자신탁운용,19.63,FnGuide 성장소비주도 지수,0.44,5637698059,0.32,높음,실물(패시브),0.5,비과세
475050,ACE KPOP포커스,2024/01/30,주식-업종섹터-업종테마,한국투자신탁운용,63.41,iSelect K-POP 포커스지수(시장가격),0.2,133613637099,-0.16,매우높음,실물(패시브),0.3,비과세
411060,ACE KRX금현물,2021/12/15,원자재-금속-금,한국투자신탁운용,37.86,KRX 금현물지수,0.1,1300352601794,-0.04,높음,실물(패시브),0.19,배당소득세(보유기간과세)
0021D0,ACE TDF2030액티브,2025/03/11,혼합자산-주식+채권,한국투자신탁운용,0.0,Bloomberg Multi Asset Target-date 2030 KRW Index,12.65,10426349579,0.23,낮음,실물(액티브),0.3,배당소득세(보유기간과세)
0021E0,ACE TDF2050액티브,2025/03/11,혼합자산-주식+채권,한국투자신탁운용,0.0,Bloomberg Multi Asset Target-date 2050 KRW Index,20.92,13808821507,0.17,보통,실물(액티브),0.35,배당소득세(보유기간과세)
225130,ACE 골드선물 레버리지(합성 H),2015/07/28,원자재-금속-금,한국투자신탁운용,69.29,S&P GSCI GOLD Index Excess Return,2.13,10541288646,0.41,매우높음,합성(패시브),0.49,배당소득세(보유기간과세)
483340,ACE 구글밸류체인액티브,2024/06/11,주식-업종섹터-업종테마,한국투자신탁운용,21.53,KEDI 글로벌 AI 클라우드 지수,10.69,22197520731,0.75,매우높음,실물(액티브),0.45,배당소득세(보유기간과세)
365780,ACE 국고채10년,2020/10/15,채권-국공채-장기,한국투자신탁운용,0.92,KIS 10년 국고채 지수 (총수익),0.15,312542092667,0.02,매우낮음,실물(패시브),0.02,배당소득세(보유기간과세)
114460,ACE 국고채3년,2009/07/31,채권-국공채-중기,한국투자신탁운용,0.65,KTB INDEX(시장가격),0.18,12459476734,-0.02,매우낮음,실물(패시브),0.15,배당소득세(보유기간과세)
494340,ACE 글로벌AI맞춤형반도체,2024/10/22,주식-업종섹터-업종테마,한국투자신탁운용,0.0,Solactive AI Custom Semiconductor Index(PR),0.21,14938388924,0.73,매우높음,실물(패시브),0.45,배당소득세(보유기간과세)
411050,ACE 글로벌메타버스테크액티브,2021/12/22,주식-업종섹터-업종테마,한국투자신탁운용,29.93,Bloomberg Global Digital Media & Tech Select Price Return Index,13.09,4717099592,-0.34,매우높음,실물(액티브),0.5,배당소득세(보유기간과세)
446770,ACE 글로벌반도체TOP4 Plus SOLACTIVE,2022/11/15,주식-업종섹터-업종테마,한국투자신탁운용,25.35,Solactive Global Semiconductor TOP4 Plus Price Return Index,3.27,342809114325,0.44,매우높음,실물(패시브),0.45,배당소득세(보유기간과세)
435040,ACE 글로벌브랜드TOP10블룸버그,2022/06/28,주식-전략-전략테마,한국투자신탁운용,17.43,Bloomberg Global Select Industry Leaders TOP10 Index(PR),1.61,12462643429,0.29,높음,실물(패시브),0.5,배당소득세(보유기간과세)
497510,ACE 글로벌빅파마,2024/11/19,주식-업종섹터-업종테마,한국투자신탁운용,0.0,Solactive Global Big Pharma Index (Price Return),0.86,8154142699,-0.42,높음,실물(패시브),0.3,배당소득세(보유기간과세)
460960,ACE 글로벌인컴TOP10 SOLACTIVE,2023/07/11,혼합자산-주식+채권,한국투자신탁운용,0.41,Solactive Global Superior Income TOP 10 Price Return Index,1.16,62092291954,-0.03,낮음,실물(패시브),0.24,배당소득세(보유기간과세)
414270,ACE 글로벌자율주행액티브,2022/02/15,주식-전략-전략테마,한국투자신탁운용,38.01,FactSet US-China Electric&Autonomous Vehicle Price Return Index,18.37,41660077446,0.55,매우높음,실물(액티브),0.29,배당소득세(보유기간과세)
440640,ACE 단기채권알파액티브,2022/08/23,채권-혼합-단기,한국투자신탁운용,3.41,KIS 단기채권알파AA-이상 총수익지수,0.12,75253984208,0.0,매우낮음,실물(액티브),0.15,배당소득세(보유기간과세)
