종목코드,종목명,운용사,수익률,총 보수
412570,TIGER 2차전지TOP10레버리지,미래에셋자산운용,52.71,0.29
462330,KODEX 2차전지산업레버리지,삼성자산운용,49.17,0.49
415920,PLUS 글로벌희토류&전략자원생산기업,한화자산운용,33.42,0.5
243890,TIGER 200에너지화학레버리지,미래에셋자산운용,31.28,0.69
371470,TIGER 차이나바이오테크SOLACTIVE,미래에셋자산운용,26.01,0.49
364980,TIGER 2차전지TOP10,미래에셋자산운용,24.59,0.4
455860,SOL 2차전지소부장Fn,신한자산운용,24.14,0.45
305540,TIGER 2차전지테마,미래에셋자산운용,23.81,0.44
461950,KODEX 2차전지핵심소재10,삼성자산운용,23.56,0.39
305720,KODEX 2차전지산업,삼성자산운용,23.11,0.45
466810,BNK 2차전지양극재,비엔케이자산운용,22.6,0.395
462010,TIGER 2차전지소재Fn,미래에셋자산운용,21.16,0.39
0023A0,SOL 미국양자컴퓨팅TOP10,신한자산운용,19.54,0.45
475070,KoAct 글로벌친환경전력인프라액티브,삼성액티브자산운용,19.29,0.5
465330,RISE 2차전지TOP10,케이비자산운용,18.16,0.07
394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),미래에셋자산운용,17.28,0.49
0007G0,PLUS 글로벌원자력밸류체인,한화자산운용,16.72,0.39
487230,KODEX 미국AI전력핵심인프라,삼성자산운용,16.58,0.45
117460,KODEX 에너지화학,삼성자산운용,16.57,0.45
245710,ACE 베트남VN30(합성),한국투자신탁운용,16.48,0.7
469170,ACE 포스코그룹포커스,한국투자신탁운용,16.42,0.3
117680,KODEX 철강,삼성자산운용,16.27,0.45
0051G0,SOL 미국원자력SMR,신한자산운용,16.06,0.45
422420,RISE 2차전지액티브,케이비자산운용,16.0,0.35
461910,PLUS 미국테크TOP10레버리지(합성),한화자산운용,15.82,0.5
417450,RISE 글로벌수소경제,케이비자산운용,15.45,0.4
204480,TIGER 차이나CSI300레버리지(합성),미래에셋자산운용,15.34,0.58
488200,KIWOOM K-2차전지북미공급망,키움투자자산운용,15.05,0.49
465610,ACE 미국빅테크TOP7 Plus레버리지(합성),한국투자신탁운용,14.85,0.6
473490,KIWOOM 글로벌AI반도체,키움투자자산운용,14.68,0.4
139240,TIGER 200 철강소재,미래에셋자산운용,14.64,0.34
139250,TIGER 200 에너지화학,미래에셋자산운용,14.62,0.34
419420,KODEX 미국클린에너지나스닥,삼성자산운용,14.5,0.45
456680,TIGER 차이나전기차레버리지(합성),미래에셋자산운용,14.36,0.58
491010,TIGER 글로벌AI전력인프라액티브,미래에셋자산운용,14.05,0.49
381570,HANARO Fn친환경에너지,엔에이치아문디자산운용,13.65,0.45
138910,KODEX 구리선물(H),삼성자산운용,13.63,0.68
0008E0,ACE 미국중심중소형제조업,한국투자신탁운용,13.56,0.45
306530,HANARO 코스닥150선물레버리지,엔에이치아문디자산운용,13.54,0.45
489010,PLUS 글로벌AI인프라,한화자산운용,13.5,0.45
256450,PLUS 심천차이넥스트(합성),한화자산운용,13.47,0.5
278240,RISE 코스닥150선물레버리지,케이비자산운용,13.46,0.6
233160,TIGER 코스닥150 레버리지,미래에셋자산운용,13.45,0.32
219900,ACE 중국본토CSI300레버리지(합성),한국투자신탁운용,13.36,0.5
385600,ACE 2차전지&친환경차액티브,한국투자신탁운용,13.29,0.29
486450,SOL 미국AI전력인프라,신한자산운용,13.28,0.45
413220,SOL 차이나태양광CSI(합성),신한자산운용,13.11,0.5
261070,TIGER 코스닥150바이오테크,미래에셋자산운용,13.08,0.4
428510,KODEX 차이나AI테크액티브,삼성자산운용,13.08,0.5
233740,KODEX 코스닥150레버리지,삼성자산운용,12.98,0.64
256750,KODEX 차이나심천ChiNext(합성),삼성자산운용,12.89,0.47
291630,KIWOOM 코스닥150선물레버리지,키움투자자산운용,12.67,0.09
449680,TIGER 한중전기차(합성),미래에셋자산운용,12.67,0.35
450180,KODEX 한중전기차(합성),삼성자산운용,12.36,0.25
462900,KoAct 바이오헬스케어액티브,삼성액티브자산운용,12.36,0.5
377990,TIGER Fn신재생에너지,미래에셋자산운용,12.19,0.5
138530,TIGER LG그룹+펀더멘털,미래에셋자산운용,12.16,0.15
381560,HANARO Fn전기&수소차,엔에이치아문디자산운용,12.1,0.45
0043Y0,TIMEFOLIO 차이나AI테크액티브,타임폴리오자산운용,11.9,0.8
418660,TIGER 미국나스닥100레버리지(합성),미래에셋자산운용,11.57,0.25
412560,TIGER BBIG레버리지,미래에셋자산운용,11.46,0.59
419430,KODEX 차이나2차전지MSCI(합성),삼성자산운용,11.21,0.25
364970,TIGER 바이오TOP10,미래에셋자산운용,11.18,0.4
476070,KODEX 글로벌비만치료제TOP2 Plus,삼성자산운용,11.17,0.45
491830,TIGER 미국AI반도체팹리스,미래에셋자산운용,11.11,0.49
498050,HANARO 바이오코리아액티브,엔에이치아문디자산운용,10.89,0.5
0005D0,SOL 전고체배터리&실리콘음극재,신한자산운용,10.89,0.45
266420,KODEX 헬스케어,삼성자산운용,10.88,0.09
0020H0,KoAct 글로벌양자컴퓨팅액티브,삼성액티브자산운용,10.87,0.5
