종목코드,종목명,운용사,평균 순자산총액,평균 거래대금,평균 거래량,평균 외국인보유비중
459580,KODEX CD금리액티브(합성),삼성자산운용,8117593.0,206166.0,192015,0.0
360750,TIGER 미국S&P500,미래에셋자산운용,7970519.0,86200.0,4100009,0.12
069500,KODEX 200,삼성자산운용,6417181.0,496424.0,11826081,33.08
488770,KODEX 머니마켓액티브,삼성자산운용,6175286.0,44236.0,428575,0.0
133690,TIGER 미국나스닥100,미래에셋자산운용,4915780.0,39953.0,292047,0.09
357870,TIGER CD금리투자KIS(합성),미래에셋자산운용,4592690.0,11919.0,211882,0.03
379800,KODEX 미국S&P500,삼성자산운용,4349351.0,85436.0,4417290,0.15
423160,KODEX KOFR금리액티브(합성),삼성자산운용,3799823.0,36857.0,333058,0.0
273130,KODEX 종합채권(AA-이상)액티브,삼성자산운용,3277342.0,6715.0,56615,0.0
381170,TIGER 미국테크TOP10 INDXX,미래에셋자산운용,3064464.0,70590.0,2933037,0.19
449170,TIGER KOFR금리액티브(합성),미래에셋자산운용,2734582.0,6992.0,64055,0.0
102110,TIGER 200,미래에셋자산운용,2674359.0,121670.0,2905910,10.85
278530,KODEX 200TR,삼성자산운용,2640344.0,11077.0,741370,0.01
379810,KODEX 미국나스닥100,삼성자산운용,2569898.0,23577.0,1144985,0.17
122630,KODEX 레버리지,삼성자산운용,2494139.0,641713.0,27327548,0.25
381180,TIGER 미국필라델피아반도체나스닥,미래에셋자산운용,2434681.0,29467.0,1470381,0.67
455890,RISE 머니마켓액티브,케이비자산운용,2323497.0,22354.0,411063,1.19
453850,ACE 미국30년국채액티브(H),한국투자신탁운용,2143433.0,18177.0,2374480,0.01
481050,KODEX CD1년금리플러스액티브(합성),삼성자산운용,2130900.0,12891.0,12605,0.0
360200,ACE 미국S&P500,한국투자신탁운용,2027093.0,11654.0,547891,0.08
458730,TIGER 미국배당다우존스,미래에셋자산운용,1995973.0,12724.0,1082910,0.05
233740,KODEX 코스닥150레버리지,삼성자산운용,1865738.0,229474.0,27717157,0.36
453540,TIGER 25-10 회사채(A+이상)액티브,미래에셋자산운용,1658309.0,6712.0,121819,0.17
