종목코드,종목명,운용사,기초지수 수익률(a),참고지수 수익률(b),수익률차이(a*2-b)
145670,ACE 인버스,한국투자신탁운용,8.98,-8.35,26.31
114800,KODEX 인버스,삼성자산운용,8.98,-8.35,26.31
123310,TIGER 인버스,미래에셋자산운용,8.98,-8.35,26.31
230480,KIWOOM 미국달러선물인버스2X,키움투자자산운용,2.43,-4.89,9.75
139660,KIWOOM 미국달러선물인버스,키움투자자산운용,2.43,-2.24,7.1
205720,ACE 일본TOPIX인버스(합성 H),한국투자신탁운용,1.71,-1.73,5.15
236350,TIGER 인도니프티50레버리지(합성),미래에셋자산운용,0.46,0.41,0.51
225050,TIGER 유로스탁스레버리지(합성 H),미래에셋자산운용,1.33,2.31,0.35
225800,KIWOOM 미국달러선물레버리지,키움투자자산운용,2.43,4.6,0.26
167860,KIWOOM 국고채10년레버리지,키움투자자산운용,0.08,-0.1,0.26
219900,ACE 중국본토CSI300레버리지(합성),한국투자신탁운용,4.86,9.47,0.25
204480,TIGER 차이나CSI300레버리지(합성),미래에셋자산운용,4.86,9.47,0.25
196030,ACE 일본TOPIX레버리지(H),한국투자신탁운용,1.71,3.34,0.08
225040,TIGER 미국S&P500레버리지(합성 H),미래에셋자산운용,5.25,10.45,0.05
152500,ACE 레버리지,한국투자신탁운용,9.09,18.4,-0.22
123320,TIGER 레버리지,미래에셋자산운용,9.09,18.4,-0.22
122630,KODEX 레버리지,삼성자산운용,9.09,18.4,-0.22
225060,TIGER 이머징마켓MSCI레버리지(합성 H),미래에셋자산운용,4.38,9.19,-0.43
